system:index,NDVI_01_Jan,NDVI_02_Feb,NDVI_03_Mar,NDVI_04_Apr,NDVI_05_May,NDVI_06_Jun,NDVI_07_Jul,NDVI_08_Aug,NDVI_09_Sep,NDVI_10_Oct,NDVI_11_Nov,NDVI_12_Dec,NDVI_Max,NDVI_Mean,NDVI_Min,NDVI_StdDev,class,.geo
34_0,0.2073678,0.2572929,0.16666667,0.5391417,0.1827957,0.5981471,0.69878656,0.53742516,0.5336179,0.5757383,0.40359282,0.45663896,0.69878656,0.42976764,0.16666667,0.1749289542517831,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
35_0,0.18241154,0.5621871,0.6978417,0.577298,0.20872274,0.79293877,0.86185104,0.64754283,0.098187946,-0.2665872,0.24452391,0.39827287,0.86185104,0.41709927,-0.2665872,0.31825848115017713,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
36_0,0.21995465,0.44877607,0.7135955,0.6993221,0.17377049,0.21524288,0.5933676,0.81999445,0.6075857,-0.28695652,-0.2,0.17223407,0.81999445,0.3480739,-0.28695652,0.34355436157322305,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
37_0,0.5518958,0.8082494,0.7278681,0.19028798,0.30640668,0.8181818,0.8214876,0.4723104,-0.4201389,0.06260575,-0.42413792,-0.31340405,0.8214876,0.3001344,-0.42413792,0.46212070196918553,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
38_0,0.75465316,0.84611404,0.64752185,0.27873182,0.21881935,0.5272109,0.7873418,0.7041157,0.15097691,-0.0394633,-0.42007434,-0.011159631,0.84611404,0.37039903,-0.42007434,0.3849782141248925,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
39_0,0.5826377,0.752505,0.6457825,0.25744388,0.21990585,0.7137488,0.80394274,0.56337655,0.22235067,-0.113071375,0.08564678,0.20994475,0.80394274,0.41201782,-0.113071375,0.28680550722236914,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
40_0,0.5991635,0.8088044,0.6667608,0.26367232,0.15117502,0.6931964,0.81091726,0.5058682,0.08594195,-0.24809384,-0.13703099,0.16524702,0.81091726,0.36380184,-0.24809384,0.35010931639247367,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
41_0,0.3075,0.45340732,0.41120943,0.2617756,0.21018277,0.4826555,0.59174097,0.41956422,0.16391462,0.09675631,0.068797775,0.25971502,0.59174097,0.31060162,0.068797775,0.15594152168407968,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
42_0,0.8027344,0.8383998,0.5916277,0.44007716,0.29258975,0.41194075,0.8470642,0.7105809,0.38275585,0.022491967,0.16077739,0.17582962,0.8470642,0.47307247,0.022491967,0.2718666409567784,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
43_0,0.6985138,0.7760143,0.5434555,0.32697004,0.3105874,0.43501866,0.79652846,0.688196,0.40440097,0.19686113,0.35350758,0.2752271,0.79652846,0.4837734,0.19686113,0.20015026674006647,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
44_0,0.79261506,0.8572126,0.58893377,0.38744634,0.18132855,0.46446407,0.85301834,0.71456265,0.2979298,0.040162273,0.18652424,0.09831985,0.8572126,0.4552098,0.040162273,0.28796679628471067,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
45_0,0.20889749,0.31291234,0.25993738,0.22486201,0.18220702,0.39855897,0.46220472,0.36966,0.22557172,0.11727932,0.22623967,0.2283569,0.46220472,0.2680573,0.11727932,0.09474737015442836,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
46_0,0.31803036,0.6460229,0.56580096,0.39613605,0.29044348,0.6740218,0.79940414,0.57506305,0.50845456,0.4611083,0.29386157,0.33526197,0.79940414,0.48863408,0.29044348,0.16038845392956616,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
47_0,0.3013493,0.67603827,0.58123064,0.3950178,0.29411766,0.63513076,0.7829852,0.5818099,0.5161413,0.47386172,0.3857351,0.4427423,0.7829852,0.5055133,0.29411766,0.14503060091870873,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
48_0,0.22982062,0.39769375,0.49321914,0.32210526,0.17073171,0.6387552,0.74627995,0.5280795,0.17691942,0.40630662,0.11290322,0.24216144,0.74627995,0.3720813,0.11290322,0.19091768691471817,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
49_0,0.22571428,0.5763784,0.59375,0.500776,0.27702948,0.6958119,0.82648873,0.6165698,0.13421053,0.089497045,0.19904077,0.19362745,0.82648873,0.4107412,0.089497045,0.23966072511115435,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
50_0,0.26984128,0.56807923,0.5466102,0.38496932,0.3286302,0.60349095,0.6740201,0.48377997,0.23896104,-0.02700524,0.2635423,0.20341296,0.6740201,0.37819436,-0.02700524,0.19479670580425226,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
